Day,HomeTeamName,AwayTeamName,Winner,Prediction
2020-09-12,Fulham FC,Arsenal FC,Arsenal FC,Arsenal FC
2020-09-12,Crystal Palace FC,Southampton FC,Crystal Palace FC,Southampton FC
2020-09-12,Liverpool FC,Leeds United FC,Liverpool FC,Liverpool FC
2020-09-12,West Ham United FC,Newcastle United FC,Newcastle United FC,West Ham United FC
2020-09-13,West Bromwich Albion FC,Leicester City FC,Leicester City FC,Leicester City FC
2020-09-13,Tottenham Hotspur FC,Everton FC,Everton FC,Tottenham Hotspur FC
2020-09-14,Sheffield United FC,Wolverhampton Wanderers FC,Tie,Wolverhampton Wanderers FC
2020-09-14,Brighton & Hove Albion FC,Chelsea FC,Chelsea FC,Chelsea FC
2020-09-19,Everton FC,West Bromwich Albion FC,Everton FC,Everton FC
2020-09-19,Leeds United FC,Fulham FC,Tie,Leeds United FC
2020-09-19,Manchester United FC,Crystal Palace FC,Crystal Palace FC,Manchester United FC
2020-09-19,Arsenal FC,West Ham United FC,Tie,Arsenal FC
2020-09-20,Southampton FC,Tottenham Hotspur FC,Tottenham Hotspur FC,Tottenham Hotspur FC
2020-09-20,Newcastle United FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Newcastle United FC
2020-09-20,Chelsea FC,Liverpool FC,Liverpool FC,Liverpool FC
2020-09-20,Leicester City FC,Burnley FC,Leicester City FC,Leicester City FC
2020-09-21,Aston Villa FC,Sheffield United FC,Tie,Aston Villa FC
2020-09-21,Wolverhampton Wanderers FC,Manchester City FC,Manchester City FC,Manchester City FC
2020-09-26,Brighton & Hove Albion FC,Manchester United FC,Manchester United FC,Manchester United FC
2020-09-26,Crystal Palace FC,Everton FC,Everton FC,Everton FC
2020-09-26,West Bromwich Albion FC,Chelsea FC,Tie,Chelsea FC
2020-09-26,Burnley FC,Southampton FC,Southampton FC,Southampton FC
2020-09-27,Sheffield United FC,Leeds United FC,Leeds United FC,Leeds United FC
2020-09-27,Tottenham Hotspur FC,Newcastle United FC,Tie,Tottenham Hotspur FC
2020-09-27,Manchester City FC,Leicester City FC,Leicester City FC,Manchester City FC
2020-09-27,West Ham United FC,Wolverhampton Wanderers FC,West Ham United FC,Wolverhampton Wanderers FC
2020-09-28,Fulham FC,Aston Villa FC,Aston Villa FC,Aston Villa FC
2020-09-28,Liverpool FC,Arsenal FC,Liverpool FC,Liverpool FC
2020-10-03,Chelsea FC,Crystal Palace FC,Chelsea FC,Chelsea FC
2020-10-03,Everton FC,Brighton & Hove Albion FC,Everton FC,Everton FC
2020-10-03,Leeds United FC,Manchester City FC,Tie,Manchester City FC
2020-10-03,Newcastle United FC,Burnley FC,Newcastle United FC,Newcastle United FC
2020-10-04,Leicester City FC,West Ham United FC,West Ham United FC,Leicester City FC
2020-10-04,Southampton FC,West Bromwich Albion FC,Southampton FC,Southampton FC
2020-10-04,Wolverhampton Wanderers FC,Fulham FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC
2020-10-04,Arsenal FC,Sheffield United FC,Arsenal FC,Arsenal FC
2020-10-04,Manchester United FC,Tottenham Hotspur FC,Tottenham Hotspur FC,Manchester United FC
2020-10-04,Aston Villa FC,Liverpool FC,Aston Villa FC,Liverpool FC
2020-10-17,Everton FC,Liverpool FC,Tie,Liverpool FC
2020-10-17,Chelsea FC,Southampton FC,Tie,Chelsea FC
2020-10-17,Manchester City FC,Arsenal FC,Manchester City FC,Manchester City FC
2020-10-17,Newcastle United FC,Manchester United FC,Manchester United FC,Manchester United FC
2020-10-18,Sheffield United FC,Fulham FC,Tie,Sheffield United FC
2020-10-18,Crystal Palace FC,Brighton & Hove Albion FC,Tie,Brighton & Hove Albion FC
2020-10-18,Tottenham Hotspur FC,West Ham United FC,Tie,Tottenham Hotspur FC
2020-10-18,Leicester City FC,Aston Villa FC,Aston Villa FC,Leicester City FC
2020-10-19,West Bromwich Albion FC,Burnley FC,Tie,West Bromwich Albion FC
2020-10-19,Leeds United FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Leeds United FC
2020-10-23,Aston Villa FC,Leeds United FC,Leeds United FC,Aston Villa FC
2020-10-24,West Ham United FC,Manchester City FC,Tie,Manchester City FC
2020-10-24,Fulham FC,Crystal Palace FC,Crystal Palace FC,Fulham FC
2020-10-24,Manchester United FC,Chelsea FC,Tie,Manchester United FC
2020-10-24,Liverpool FC,Sheffield United FC,Liverpool FC,Liverpool FC
2020-10-25,Southampton FC,Everton FC,Southampton FC,Everton FC
2020-10-25,Wolverhampton Wanderers FC,Newcastle United FC,Tie,Wolverhampton Wanderers FC
2020-10-25,Arsenal FC,Leicester City FC,Leicester City FC,Arsenal FC
2020-10-26,Brighton & Hove Albion FC,West Bromwich Albion FC,Tie,Brighton & Hove Albion FC
2020-10-26,Burnley FC,Tottenham Hotspur FC,Tottenham Hotspur FC,Tottenham Hotspur FC
